Question Title,Answer,Tags,Doctor Rank,Topics,MCC Team,Possible Multiple Answers,Long Answer,Special Question Notes,Planted x for caregiver launch
Do immune boosters work?,"The reality is that most marketed immune boosting products have no real solid, scientific basis behind them. If on blood work, you are found to be low on certain vitamin levels, then your doctor may recommend vitamin supplements. However, certain natural compounds like tumeric or natural drug combinations (like zinc + vitamin C) are marketed to patients but not necessarily based on sound scientific evidence. If you have a question about a natural drug remedy, you should ask your doctor about their opinion before taking these medications.","immune booster, immune, naturopathic, nutraceutical, homeopathic",2,Treatment,Neuro-Oncology Team,,,,
 What is the usual treatment course in patients with newly diagnosed glioblastoma?,"Typically surgery is performed to diagnose and treat the lesion. Then after recovery, patients usually receive chemotherapy and radiation.","treatment, temodar, radiation, surgery, team, journey",1,Treatment,Neuro-Oncology Team,,,,
How do doctors make medical decisions?,"Great question! This is both the science and art of medicine. With respect to science, much of the medical literature are reports of how certain treatments work or don’t work. As doctors, we collate that information and make treatment recommendations based on the best science available. Medical science does change over time but as medical professionals, we strive to be as up to date as possible. And this pace of change is a good thing...we want our treatment options to get better and better over time. The art of medicine reflects what your doctor recommends for you while taking into account all the available options and your specific personal situation. The art of medicine also reflects how sometimes the right answer is unclear from science, and doctors then use their experience, expertise, and judgment to come up with the best solution for you.","doctors, decision, doctor",1,Treatment,"Neuro-Oncology Team, NeuroSurgery Team, Mental Health Team",,,,
Should I get a covid vaccine?,"Any treatment decision should of course be one you discuss with your personal physicians.That said, the Covid vaccines do not have any known downsides in patients with glioblastoma. In fact, the CDC recommends COVID vaccination for all adults with no restrictions based on any diseases you might also have. See their recommendations here.
https://www.cdc.gov/coronavirus/2019-ncov/vaccines/different-vaccines/how-they-work.html#:~:text=As%20with%20vaccines%20for%20other,should%20get%20a%20booster.","covid, vaccine",3,Treatment,Neuro-Oncology Team,,,,
I was told I have an inoperable tumor. What does that mean?,"Sometimes, tumors grow in regions of the brain where doing an operation would cause you significant harm. For example, surgery for glioblastoma in certain parts of the brain could cause irreversible problems with movement as an example. Your doctors want to remove as much of the tumor as possible but at the same time maintain your neurologic function. Surgical techniques like brain mapping can help in this regard.  If you hear that your tumor is inoperable, certainly ask why. If you’re unsatisfied with the answer, a second opinion may be worthwhile.","inoperable, biopsy, brain mapping, second opinion",2,Treatment,NeuroSurgery Team,,,,
What is proton beam therapy?,"Proton Beam Therapy is a highly precise form of radiation therapy that uses protons instead of photons. For most patients, proton beam therapy is not commonly used in glioblastoma. However, there is a lot of research being done to figure out if it should have more of a role.

https://www.cancer.net/navigating-cancer-care/how-cancer-treated/radiation-therapy/proton-therapy

",radiation,2,Treatment,Neuro-Oncology Team,,,,
What is radiation therapy?,"Radiation is the use of high energy X-Rays to kill tumor cells. These x-rays damage DNA, particularly in dividing cells like in tumors. Your radiation oncologist will carefully plan the dose of radiation to target the tumor while keeping your brain safe.","radiation, radiosurgery",1,Treatment,Neuro-Oncology Team,,,,
What is KPS?,KPS stands for Karnofsky Performance Scale and goes from 0-100. It is essentially a measure of how functional you are. You may see your KPS score in your medical records. The KPS is one of many data points used to assess how you’re doing. It is also a data point used to help guide decision making in your care. See https://www.cancer.gov/publications/dictionaries/cancer-terms/def/karnofsky-performance-status,"KPS, function, data, karnofsky",1,"Diagnosis, Glossary",Neuro-Oncology Team,,,,
What is hydrocephalus?,"Hydrocephalus refers to increased pressure in the brain caused by too much fluid. Your brain has water tanks inside it which are called the ventricles. They are filled with a salty fluid called cerebrospinal fluid ( CSF). Your brain makes CSF continuously (almost 2 cups worth per day). The amount of CSF produced in 1 day is then also absorbed by the brain so the amount of CSF in your brain remains constant. Sometimes in patients with brain tumors, the CSF can build up and cause pressure and symptoms. The most common reason for hydrocephalus in patients with glioblastoma, is that the ability of the brain to absorb CSF is reduced. This is because sometimes factors floating around in the CSF caused by the tumor can clog up the ability of the brain to absorb the CSF. If you can imagine overflowing water near a clogged drainage pipe, that's similar to what is happening in hydrocephalus. Sometimes people refer to this condition as water on the brain. ","hydrocephalus, vocabulary, water on the brain, shunt, headaches, nausea, vomiting, blurry vision, walking, confusion",3,"Diagnosis, Glossary","Neuro-Oncology Team, NeuroSurgery Team",,,,
what is the WHO?,"WHO refers to the World Health Organization and is relevant to patients and families because they publish the classification system used to describe gliomas and glioblastomas. 

https://academic.oup.com/neuro-oncology/article/23/8/1231/6311214
","WHO, glioblastoma",2,"Diagnosis, Glossary","Neuro-Oncology Team, NeuroSurgery Team",,,,
What is “pressure on the brain?”,"Sometimes in medical reports or in DoctorSpeak, you may hear this phrase. Essentially, it means that there is compression of the brain by the tumor. Sometimes this pressure causes symptoms depending on the location of the tumor such as speech trouble, weakness or seizures. Other times no symptoms are present.  What to do about the pressure, if anything, is a discussion you’ll have with your doctors.","pressure on the brain, compression",2,"Diagnosis, Symptoms, Glossary","Neuro-Oncology Team, NeuroSurgery Team",,,,
What is gadolinium? Are there any side effects?,"Gadolinium is a chemical element (contrast agent) used routinely in brain MRIs and is very safe. It is an essential part of diagnosis and monitoring your tumor. Side effects are very rare but can be rarely seen in patients with pre-existing kidney issues. For that reason, you will be asked several questions prior to getting an MRI to make sure that gadolinium is safe for you to receive. If you’ve had a prior allergic reaction to gadolinium, you may still be able to receive gadolinium again if you receive steroids and benadryl beforehand.

",MRI,0.6,"Diagnosis, Surveillance, Glossary",Neuro-Oncology Team,,,,
I am claustrophobic. Are there any alternatives to MRI?,"Unfortunately, MRI remains the best test for your doctors to monitor your tumor. CT scans are much quicker than MRIs, but are much less sensitive at detecting small changes in your tumor. If you struggle to complete MRIs, talk to your doctor to see if anxiety-relieving medications (Ativan, Xanax) may be taken before an MRI to cause light sedation. If absolutely necessary, you can have general anesthesia for MRI scans but this is rarely required. Alternatively, some facilities have open MRI scanners, which are less claustrophobia-inducing than a standard MRI. However, the quality of open MRI scanners are generally not as good unfortunately.","MRI, claustrophobia",0.8,"Diagnosis, Surveillance, Symptoms","Neuro-Oncology Team, Patient & Caregiver Team, Mental Health Team",,,,
Are MRI’s dangerous?,"MRIs are safe to get for both diagnosis and surveillance(ie keeping an eye on your brain). There is no radiation associated with MRI scanners. You will often get a contrast agent called “gadolinium” which is safe and routinely used for patients with brain tumors. If there is any reason to limit gadolinium exposure (ie kidney problems or allergies), your doctor will discuss this with you. Certain types of metal implants (pacemakers, older tattoos) are also prohibited in the magnetic MRI environment. You will be asked many questions prior to getting an MRI to ensure that it is safe for you to receive.

https://www.scientificamerican.com/article/tattoo-ink-mercury-and-other-toxins/",MRI,0.5,"Diagnosis, Surveillance",Neuro-Oncology Team,,,,
 I’m pregnant. Can I have an MRI?,"Yes you can typically, though your doctor may choose to withhold the gadolinium. This needs to be discussed with your doctor. ","MRI, pregnant",1,"Diagnosis, Surveillance",Neuro-Oncology Team,,,,
Does an MRI deliver radiation to my body?,"No. CT (computed tomography) scans do deliver a small amount of radiation. However, MRI scans do not deliver any radiation. MRI scans acquire images based on the behavior of protons exposed to a very strong magnetic field. Magnetic fields are not dangerous to the human body. However, you cannot have any metal on your body when you enter an MRI scanner. Certain implanted devices (ie older pacemakers) cannot enter the MRI environment. Of note, the modern metal plates/screws that may have been placed from your brain surgery are safe in the MRI environment (they are made from titanium). Prior to an MRI you will be asked several questions to ensure an MRI is safe. If for some reason, an MRI cannot be obtained, then your doctor may order a CT scan which can still provide very useful information.","MRI, radiation",0.7,"Diagnosis, Surveillance",Neuro-Oncology Team,,,,
What is my prognosis?,"Prognosis depends on many factors that are individual to you and your tumor biology. This is a conversation you need to have openly with your oncologist.

",prognosis,1,"Diagnosis, Precision Medicine, Recurrence",Neuro-Oncology Team,,,,
What are mutations? How are they related to cancer?,"A mutation is a change in the normal DNA sequence of a cell. In normally behaving cells, our genes regulate how often our cells divide to make new cells. In tumor cells, mutations cause changes in our genes that then cause our cells to divide uncontrollably. Our cells have a lot of guardrails to prevent this from happening but in cancer, many of these guardrails have been disabled by mutations. The typical mutations that cause glioblastoma arise from cells in the brain when you’re an adult, and are NOT passed down to your children. ","vocabulary, biology, mutations, genes",0.2,"Diagnosis, Precision Medicine",Neuro-Oncology Team,,,,
What is the difference between a surgical resection and a biopsy?,"A surgical resection and a biopsy are both neurosurgical procedures. In general a biopsy refers to a neurosurgical procedure where only a small piece of a tumor is removed for the purpose of making a diagnosis. A biopsy involves a small incision on the head so that a small needle can be introduced through the skull to sample (biopsy) the tumor tissue. A surgical resection generally refers to a procedure where the surgeon attempts to remove as much of the tumor as can be done safely (so called gross or near total resection). A surgical resection requires a larger incision and an opening in the skull called a craniotomy. Both neurosurgical procedures are done in the operating room under anesthesia typically, and require admission to the hospital for monitoring after the procedure. ","brain surgery, craniotomy, biopsy, resection, gross total resection",0.3,"Diagnosis, Treatment, Glossary",NeuroSurgery Team,,,,
I don’t have insurance or my insurance doesn't cover much. How do I get care? What is the ACA?,"Emergency care can be received through the emergency rooms at any hospital. However, it is important to do your best to get coverage. The Affordable Care Act (ACA) has made this process easier(the ACA was a law passed by Congress to help expand insurance coverage in the United States). 
Each state has its own policies regarding emergency coverage so talk to a social worker or a hospital financial counselor in your hospital and they will help you understand your options. You can call 1-800-318-2596 to speak with someone about what type of coverage you might qualify for. It might also be helpful to visit https://triagecancer.org/cancer-resources-and-educational-information/quickguides#anchor-healthinsurance for all types of various quick guides on all things insurance, including accessing insurance as an immigrant, if moving out of state, or if you’ve lost coverage from an employer during treatment.

https://www.cancer.net/navigating-cancer-care/financial-considerations/affordable-care-act-and-cancer","money, finance, cost of care, insurance, help, help others help you, recommendations, ACA",1,"Diagnosis, Treatment, Caregiver Resources, Life Hacks, Products and Services, Glossary","Social Work Team, Patient & Caregiver Team",,,,
Are there navigator programs available?,"Yes there are private organizations (for a fee) and volunteer organizations that can offer some navigator services. The NBTS and others offer services in this regard. See https://braintumor.org/brain-tumor-information/personalized-support-and-navigation-program/
","navigator, caregiver resources, resources, recommendations",0.2,"Diagnosis, Treatment, Life Hacks, Products and Services, Advocacy Groups","Social Work Team, Patient & Caregiver Team",,,,
What questions should I ask my oncologist?,"You are going to form a long-term relationship with your oncologist and/or neuro-oncologist.  You don’t need to think of every question at the first visit. Information is often easiest to understand when you structure your thinking and questions and we provide some below. Your oncologist is both your doctor and coach, so it's important to build trust with him/her.

Some questions you may want to know about your oncologist and your care team: 
- How many patients like me do you treat in a year
- Do you work in a multi-disciplinary team?
- Does the whole team take my insurance?
- If I have questions how do I get in touch with the team?
- How often will I need to have doctors' appointments?
- Should I continue to see my general practitioner or primary care physician for check-ups and non-glioblastoma related issues?
- Does this hospital/treatment center/office have a patient portal, and how would or should I use that?
- I have heard that I may have frequent MRI scans. How will I get my results?
- On my patient portal I have access to many reports and results, what is your opinion about looking at those reports outside of our office visits together?
- Is it ok for me to bring a caregiver or other loved one with me to help take notes at appointments?
- Does this hospital/treatment center/office have a support group for my type of cancer?

Some questions you may ask about your diagnosis: 
- Can you explain what it means to have glioblastoma?
- What symptoms should I expect from the tumor?
- Will this affect my ability to work?
- Am I eligible for a clinical trial?
- What does my grade mean?
- Do we have genetic or genomic information about my cancer?
- Do we know how this cancer developed? 
- Will this cancer come back?
- Where can I learn more about the disease?

Some questions about treatment: 
- What is my treatment plan?
- What side effects (cognitive or physical) can I expect from treatment?
- What kind of symptoms do patients report when they undergo chemotherapy or radiation?
- Are there medications to manage side effects from these treatments?
- How does treatment affect my fertility? Should I freeze my sperm or eggs? 
- Are there clinical trials available for patients like me either here or nearby?
- How often will I get MRI scans to keep track of my disease?
- What kinds of things can I do to maximize quality of life and minimize symptoms? 

Some questions to ask about life: 
- Can I work?
- How will this diagnosis and treatment affect my work? My personal life?
- Can I exercise?
- Can I engage in sexual activity? 

You should have more than one opportunity to ask questions.  Sometimes this first visit can be very overwhelming and it may feel like you are being flooded with information.  Please don’t feel like you need to get every question answered all at once.  Process whatever information you can and be sure to ask your doctor how to best get in touch after you have a chance to think about things. 


","team, questions, oncologist, neuro-oncologist",0.2,"Diagnosis, Treatment, Clinical Trials","Neuro-Oncology Team, Patient & Caregiver Team, Mental Health Team",checked,checked,,
My doctor told me I need surgery. Why do I need surgery? Is it dangerous?,"Surgery is critical for the care of patients with brain tumors. The first reason is that surgery is the only way we can get a diagnosis to confirm the type of brain tumor you have. In the modern era, once the tumor is removed, it is analyzed both histologically(looking at the tumor tissue in a microscope) and genomically (profiling the genetics of the tumor to get a better understanding of its behavior). This information is then integrated to help guide you and your doctor with respect to prognosis and lets you know what type of individualized therapy options and clinical trials might be available for you.The next reason surgery is useful is because we know now that maximal removal of a tumor (gross total resection) is beneficial to your prognosis and care. Sometimes it can be too dangerous to remove the whole tumor and in these cases a small biopsy may be what your doctor recommends. This is an important discussion to have with your doctor. Finally, by relieving pressure on the brain, surgery can help improve many of the symptoms you may be experiencing. ","brain surgery, craniotomy, genomics, gross total resection, biopsy",0.2,"Diagnosis, Treatment, Clinical Trials",NeuroSurgery Team,,,,
Do I need to see an oncologist( or neuro-oncologist) before having surgery?,"Often, your neurosurgeon is the first doctor you’ll meet when you find out you have a brain tumor.  Oncologists and/or neuro-oncologists usually become involved once there is a diagnosis which comes from the surgery. If you wish to speak with an oncologist prior to surgery, that is certainly ok! However, it is unlikely they will prescribe any treatment plan until you have an operation to diagnose (biopsy) and hopefully remove the tumor. After the results from surgery have returned, they will work with your other providers in creating a customized treatment plan.","team, treatment, multi-disciplinary, multidisciplinary, oncologist, neuro-oncologist, chemotherapy, radiation",1,"Diagnosis, Treatment, Precision Medicine","Neuro-Oncology Team, NeuroSurgery Team",,,,
What can I expect after my diagnosis? What is my journey?,"Typically, you need surgery to diagnose (biopsy) and hopefully remove the majority of the tumor. Then you will recover and most likely undergo chemotherapy and radiation. After that is completed, you will continue chemotherapy and be monitored regularly with MRIs by your oncologist. This journey is not cast in stone though and may be modified based on your individual situation or in the context of a clinical trial. In general, this represents the current standard of care.

Surgery for diagnosis-->Recovery-->Radiation and Chemotherapy-->Continued Chemotherapy and Surveillance","diagnosis, journey, chemotherapy, radiation, standard of care",1,"Diagnosis, Treatment","Neuro-Oncology Team, Social Work Team, Patient & Caregiver Team",,,,
What is the treatment for hydrocephalus?,"Because hydrocephalus is caused by too much fluid in the brain, the treatment involves moving that fluid to a place where it can be absorbed safely. The most common method of treating hydrocephalus in patients with glioblastoma is called a ventriculoperitoneal shunt (VP shunt). This involves making a small incision in the skull and placing a catheter (small silicone tube) into the ventricle. This tube is then connected to a small valve which regulates the amount of fluid that is leaving the brain. Finally, another tube is connected to the valve and tunneled under the skin where it enters the abdominal cavity using a small incision. This end of the catheter lives in the space where all your abdominal organs are located(like your stomach, intestines). The fluid can be absorbed safely in this space. The surgery itself is relatively quick and straightforward.","hydrocephalus, water on the brain, shunt, headaches, nausea, vomiting, blurry vision, walking, confusion",3,"Diagnosis, Treatment",NeuroSurgery Team,,,,
 How do I choose my treatment team?,"There are many factors that go into choosing your doctors. Convenience cannot be overstated for you and your family. If there is a hospital or cancer center in your area with experience caring for patients with brain tumors, it is not necessary to fly all over the country to interview doctors from different hospitals.  

	What is most important is that you feel confident in your doctors, that you are able to have open and honest conversations, and that your doctors have the experience to provide you with all of the expertise you deserve. Like many things, experience and expertise matter. However, for your treatment team, it is wise to go to a place where there is extensive experience operating on brain tumors and taking care of patients before surgery, after surgery, and throughout treatment. 
	Though it can feel intimidating sometimes to ask your doctor about their credentials, they are all very used to being asked questions about how many patients they see and what kind of experience they have.  For example, you may ask your neurosurgeon how many of these surgeries they do in a year and what their outcomes are. It also means asking your oncologist and radiation oncologist how many patients like you they treat in a year. 

	Another point to consider is that radiation therapy will require treatments at the radiation suite Monday through Friday for up to 6 weeks, so choosing a radiation oncologist close to where you live will help cut down on travel. Some patients will choose to get most or all of their treatment close to home, but may ask for a second opinion at another brain tumor center. 

	At the end of the day, you want to feel comfortable with your team and have trust in their advice. ","team, treatment, multi-disciplinary, multidisciplinary, doctor, second opinion",0.1,"Diagnosis, Treatment","Neuro-Oncology Team, Social Work Team, Mental Health Team, Patient & Caregiver Team, NeuroSurgery Team",,,,
Why did I get a glioblastoma?,"You didn’t do anything to cause this tumor.  The overwhelming likelihood is that your glioblastoma grew due to some very unfortunate but random changes in the glial cells in your brain.  It is not your fault.  Generally, this is not a tumor that results from “exposures” like smoking. Glioblastoma happens when some cells in the brain get the wrong signal to divide and grow in an out-of-control pattern.  We don’t know why some brain cells get that signal.  That said, we are living in an unprecedented time when it comes to seeing advances on a daily basis for diseases like glioblastoma. Your team of doctors will work hard on your behalf along with an amazing community of doctors, patients, and caregivers to help you through this journey. ","biology, risk factors, causes, glia, why",0.6,"Diagnosis, Intro to Glioblastoma","Neuro-Oncology Team, NeuroSurgery Team",,,,
Can this have been caught sooner?,"For most patients with glioblastoma, these tumors start and grow relatively quickly. So an MRI from a year ago would be unlikely to pick up the tumor.  So for the vast majority of people, these tumors are diagnosed when symptoms develop.","early diagnosis, prevention, signs, missed",0.9,"Diagnosis, Intro to Glioblastoma",Neuro-Oncology Team,,,,
How is a glioblastoma diagnosed?,"Brain Tumors are typically diagnosed when patients present with symptoms like headaches or seizures. Sometimes patients can present with other symptoms like weakness or even personality changes. When these symptoms happen, a doctor may order a CT or MRI scan which may first identify the tumor.  A surgical procedure to either biopsy the tumor or remove the tumor is necessary to make the diagnosis. ","biopsy, MRI, CT, symptoms",0.8,Diagnosis,Neuro-Oncology Team,,,,
What is a Primary Brain Tumor?,A primary brain tumor is one that grows from the brain itself. It did not spread from somewhere else in the body and is unlikely to travel outside of the brain. Glioblastoma is a primary brain tumor.,biology,1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is a Secondary Brain Tumor or Metastasis?,A secondary brain tumor or metastasis is one that has spread from a site of cancer elsewhere in the body. Glioblastoma is a primary brain tumor and not a metastasis.,"biology, vocabulary, metastasis, secondary brain tumor",1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What does it mean for a tumor to be malignant?,"Tumors (and their cells) are considered malignant if they invade neighboring tissue and spread. For gliomas, ""malignant"" can also refer to features that the pathologist sees in a sample of tumor tissue.","biology, malignant",1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is an astrocyte? What is an oligodendroglial cell? What do they have to do with gliomas?,"Glial cells are cells in the brain that help support the neurons and hold them in place (they don’t directly produce electrical impulses in the brain like the nerves do). When a glial cell gains the ability to divide and grow out of control, it can create a tumor of glial cells, or a glioma. Astrocytes and oligodendrocytes are different types of glial cells and have distinctive functions. Classically, the cell of origin that divided and proliferated dictated the diagnosis. (A tumor composed of astrocytes would be an astrocytoma while a tumor composed of oligodendrocytes would cause an oligodendroglioma.) Nowadays, we rely more on the genetic markers in the tumor to help provide the diagnosis and a specific prognosis/treatment plan for you. 

Glioblastoma (GBM) is a cancer that comes from astrocytes and is therefore a type of astrocytoma. ","biology, astrocyte, oligodendrocyte, glia",0.5,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What are the lobes of the brain? What is the brainstem?,"The brain is a complex organ made up of many lobes. There is your frontal lobe which deals with personality, decision making, and language. There is your temporal lobe which also deals with language and memory. There are your parietal lobes which deal with integrating information and calculation. There are your occipital lobes which deal with vision. There is also your cerebellum in the back of the brain which deals with coordination of movement, and finally your brainstem which helps convey information from your brain to the rest of your body and vice versa. It’s also responsible for many of your automatic functions like controlling heartbeat and breathing. ","biology, lobes, anatomy",1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is the amygdala?,"The amygdala is a part of the brain, found deep in the temporal lobe, that helps process emotional and emotional memory. Brain tumors can sometimes involve this area. 
It is part of the limbic system. 
https://en.wikipedia.org/wiki/Amygdala

Seizures can occur in the amygdala which can produce symptoms of fear, worry, anxiety or panic ","amygdala, memory, anxiety, fear, panic",3,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is a glioma?,"A glioma is an abnormal growth of cells in the brain that forms a tumor. A glioma is a broad term that describes many types of tumors( for example, astrocytoma, oligodendroglioma, glioblastoma are ALL types of gliomas). The treatments for gliomas depend on the specific type. 
","high grade glioma, glioma, low grade glioma, grade",2,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
"What is the difference between an astrocytoma, oligodendroglioma, and glioblastoma?","These terms all get confusing; see our question on ""What is a glioma?"" for more information. 

That said, gliomas are an umbrella term that refers to many types of brain tumors. In adults, the most common gliomas are astrocytomas and oligodendrogliomas. Both astrocytomas and oligodendrogliomas. These tumors are ""graded"" by pathologists to determine how aggressive the tumor is. A glioblastoma is a ""high grade"" or cancerous astrocytoma. 
","high grade glioma, glioma, low grade glioma, grade, oligodendroglioma, glioblastoma",1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is the Central Nervous System?,The Central Nervous System(CNS) consists of the brain and spinal cord. Together they control the body and its functions.,biology,1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is DNA?,"DNA is deoxyribonucleic acid. It is the building block of our genes. Tumor cells have mutations in their genes which cause them to grow uncontrollably. The mutations are within the molecules of DNA themselves.

https://en.wikipedia.org/wiki/DNA","cell free dna, mutations, DNA",2,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
What is a neoplasm?,A neoplasm refers to a tumor but is a general term and includes both benign and malignant tumors.,biology,1,"Intro to Glioblastoma, Glossary",Neuro-Oncology Team,,,,
